id_parcela,ciclo_agricola,tipo_anomalia,descripcion
1fc08bdf-c173-4241-a21e-4f4728eb1215,PV-2024,SOBRE_RIEGO,1 evento(s) con vol x2.8
1fc08bdf-c173-4241-a21e-4f4728eb1215,OI-2024,SOBRE_RIEGO,3 evento(s) con vol x3.42
708876d7-8bb5-49d0-b979-c85cc6c5e2b1,PV-2023,SOBRE_RIEGO,3 evento(s) con vol x3.11
84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2023,SOBRE_RIEGO,1 evento(s) con vol x2.99
d88385c8-4b9e-45eb-9816-10d6e78cee59,PV-2024,SOBRE_RIEGO,1 evento(s) con vol x2.8
4bc49af1-136c-4f88-a323-d6246ea051d9,PV-2021,SOBRE_RIEGO,3 evento(s) con vol x2.82
ddc49f6a-26d2-449f-b5f9-028051bf0aee,OI-2026,SOBRE_RIEGO,1 evento(s) con vol x3.06
eebee71b-b00b-4a44-b941-73e1c260c706,OI-2021,SOBRE_RIEGO,2 evento(s) con vol x3.28
ce83cb07-58f6-4daf-a6e3-1ee72480447b,PV-2021,SOBRE_RIEGO,1 evento(s) con vol x2.59
39c46048-03d3-49a2-b1cf-5857f4a994ba,OI-2022,SOBRE_RIEGO,1 evento(s) con vol x2.63
6e1d231a-7c6d-466d-b23f-8de651b9faf6,OI-2024,SOBRE_RIEGO,1 evento(s) con vol x2.54
f1f61c27-c2a8-4515-87a8-f83ec5642de8,PV-2024,SOBRE_RIEGO,1 evento(s) con vol x2.63
5374f8cc-a791-41ed-8bd8-7bf2489fe200,PV-2026,SOBRE_RIEGO,3 evento(s) con vol x2.67
8dd75c08-6935-4e65-9ad3-e3872fb57333,PV-2024,SOBRE_RIEGO,3 evento(s) con vol x2.63
574471ae-d1bc-4521-b3c4-b421e7a0c220,PV-2021,SOBRE_RIEGO,1 evento(s) con vol x2.57
bbe0d9f4-8075-4afd-a43e-5602f914bd48,OI-2022,SOBRE_RIEGO,2 evento(s) con vol x3.43
84213f57-d0b1-4502-888a-1315fad8b140,OI-2025,SOBRE_RIEGO,2 evento(s) con vol x3.31
